RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Charlie Culberson,ATL,2,0,2.0,2,0,0,2,1,0,0,0,0,0.1,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
